J.  I.  SOLDADITO DE PLOMO;AYP;ARICA;3;0;SIN INFO;SIN INFO;0
JARDIN INFANTIL PLUTO;AYP;ARICA;2;0;-18.479057000000000;-70.30340000000000;1
ABRAHAM LINCOLN SCHOOL;AYP;ARICA;2;0;-18.481230000000000;-70.31878700000000;755
JUNIOR COLLEGE;AYP;ARICA;3;0;-18.463913000000000;-70.29143999999999;728
ESCUELA VALLE DE ESQUINA;AYP;CAMARONES;5;1;-18.936220000000000;-69.53015900000000;6
LICEO VALLE DE CODPA;AYP;CAMARONES;5;1;-18.832899000000000;-69.74458300000001;67
ESCUELA VALLE DE COBIJA;AYP;CAMARONES;5;1;-18.739889000000000;-69.58323700000000;1
ESCUELA VALLE DE CAMARONES;AYP;CAMARONES;5;1;-19.009920000000000;-69.86013800000001;16
ESCUELA VALLE DE GUANACAGUA;AYP;CAMARONES;5;1;-18.819530000000000;-69.70954900000000;5
ESCUELA VALLE DE CUYA;AYP;CAMARONES;5;1;-19.160440000000000;-70.17957300000000;2
LICEO GRANADEROS;AYP;PUTRE;5;1;-18.195820000000000;-69.56192799999999;252
ESCUELA EL MARQUEZ;AYP;PUTRE;5;1;-18.580721000000000;-69.49375900000000;4
ESCUELA PAYACHATAS;AYP;PUTRE;5;1;-18.054399000000000;-69.20101200000001;5
ESCUELA SAN FRANCISCO DE ASIS;AYP;PUTRE;5;1;-18.268810000000000;-69.59702299999999;5
ESCUELA COTA COTANI;AYP;PUTRE;5;1;-18.200001000000000;-69.26670100000000;2
ESCUELA LOS ALAMOS;AYP;PUTRE;5;1;-18.196350000000000;-69.55921900000000;4
ESCUELA SAN SANTIAGO DE BELEN;AYP;PUTRE;5;1;-18.467779000000000;-69.51489300000000;7
ESCUELA ANCOLACANE;AYP;GENERAL LAGOS;5;1;-17.854719000000000;-69.60613300000000;5
ESCUELA ALCERRECA;AYP;GENERAL LAGOS;5;1;-17.994340999999990;-69.70588700000000;0
